client,tau,theta_star,final_pnl
A,5,0.4025,11065.087329999962
A,10,0.417,13492.003510000079
A,15,0.422,14624.051945999992
A,20,0.419,17602.425673000056
A,25,0.419,19831.675922000064
A,30,0.419,21095.58787100006
B,5,0.40800000000000003,9473.499704000029
B,10,0.4225,10586.583599000098
B,15,0.431,11878.794950000123
B,20,0.431,12228.720326000039
B,25,0.433,13961.762849000028
B,30,0.432,15088.977947000076
C,5,0.41300000000000003,8655.176386000003
C,10,0.4365,9424.479744999975
C,15,0.4395,9661.333440999997
C,20,0.443,9420.161759999915
C,25,0.4505,9693.200788999951
C,30,0.46,9624.59015400003
D,5,0.4335,4892.484746000029
D,10,0.4635,3629.9083279999886
D,15,0.4815,2133.16807199999
D,20,0.494,-48.85772900003764
D,25,0.0,0.0
D,30,0.0,0.0
E,5,0.4535,3580.7029860000443
E,10,0.0,0.0
E,15,0.0,0.0
E,20,0.0,0.0
E,25,0.0,0.0
E,30,0.0,0.0
F,5,0.47050000000000003,2250.0710870000476
F,10,0.0,0.0
F,15,0.0,0.0
F,20,0.0,0.0
F,25,0.0,0.0
F,30,0.0,0.0
